year,round,round_order,college_code,college_name,branch,category,closing_rank
2021,R1,1,E016,"K.L.E Technological University (Formerly known as BVBCET),
Hubli",Electrical & Electronics Engineering,HKR,31579
2021,R1,1,E016,"K.L.E Technological University (Formerly known as BVBCET),
Hubli",Electronics & Communication Engineering,GM,13707
2021,R1,1,E016,"K.L.E Technological University (Formerly known as BVBCET),
Hubli",Electronics & Communication Engineering,HKR,24312
2021,R1,1,E016,"K.L.E Technological University (Formerly known as BVBCET),
Hubli",Electronics and communication (Industry Integrated),GM,17344
2021,R1,1,E016,"K.L.E Technological University (Formerly known as BVBCET),
Hubli",Electronics and communication (Industry Integrated),HKR,33585
2021,R1,1,E016,"K.L.E Technological University (Formerly known as BVBCET),
Hubli",Mechanical Engineering,GM,41021
2021,R1,1,E017,"Ballari Institute of Technology & Management, Bellary",Artificial Intelligence and Machine Learning,GM,39196
2021,R1,1,E017,"Ballari Institute of Technology & Management, Bellary",Civil Engineering,GM,27421
2021,R1,1,E017,"Ballari Institute of Technology & Management, Bellary",Computer Science & Engineering,GM,40967
2021,R1,1,E017,"Ballari Institute of Technology & Management, Bellary",Electronics & Communication Engineering,GM,31757
2021,R1,1,E018,Bangalore College of Engineering & Technology,Artificial Intelligence and Machine Learning,GM,23685
2021,R1,1,E018,Bangalore College of Engineering & Technology,Computer Science & Engineering,GM,11726
2021,R1,1,E018,Bangalore College of Engineering & Technology,Computer Science & Engineering,HKR,42803
2021,R1,1,E018,Bangalore College of Engineering & Technology,Electrical & Electronics Engineering,GM,43863
2021,R1,1,E018,Bangalore College of Engineering & Technology,Electronics & Communication Engineering,GM,39560
2021,R1,1,E018,Bangalore College of Engineering & Technology,Information Science & Engineering,GM,19618
2021,R1,1,E019,Bangalore Institute of Technology,Artificial Intelligence and Machine Learning,GM,3086
2021,R1,1,E019,Bangalore Institute of Technology,Artificial Intelligence and Machine Learning,HKR,17007
2021,R1,1,E019,Bangalore Institute of Technology,Civil Engineering,GM,43225
2021,R1,1,E019,Bangalore Institute of Technology,Computer Science & Engineering,GM,2171
2021,R1,1,E019,Bangalore Institute of Technology,Computer Science & Engineering,HKR,9096
2021,R1,1,E019,Bangalore Institute of Technology,Electrical & Electronics Engineering,GM,9846
2021,R1,1,E019,Bangalore Institute of Technology,Electrical & Electronics Engineering,HKR,29605
2021,R1,1,E019,Bangalore Institute of Technology,Electronics & Communication Engineering,GM,6602
2021,R1,1,E019,Bangalore Institute of Technology,Electronics & Communication Engineering,HKR,24894
2021,R1,1,E019,Bangalore Institute of Technology,Electronics & Instrumentation Engineering,GM,18053
2021,R1,1,E019,Bangalore Institute of Technology,Electronics and Telecommunication Engineering,GM,12762
2021,R1,1,E019,Bangalore Institute of Technology,Industrial Engineering and Management,GM,35905
2021,R1,1,E019,Bangalore Institute of Technology,Information Science & Engineering,GM,3315
2021,R1,1,E019,Bangalore Institute of Technology,Information Science & Engineering,HKR,14509
2021,R1,1,E019,Bangalore Institute of Technology,Mechanical Engineering,GM,32204
2021,R1,1,E020,"Bangalore Technological Institute, Bangalore",Artificial Intelligence and Machine Learning,GM,39621
2021,R1,1,E020,"Bangalore Technological Institute, Bangalore",Computer Science & Engineering,GM,23937
2021,R1,1,E020,"Bangalore Technological Institute, Bangalore",Computer Science & Engineering,HKR,34800
2021,R1,1,E020,"Bangalore Technological Institute, Bangalore",Electronics & Communication Engineering,GM,41324
2021,R1,1,E020,"Bangalore Technological Institute, Bangalore",Mechanical Engineering,GM,41477
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Civil Engineering,GM,43566
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Computer Science & Engineering,GM,25901
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Computer Science & Engineering,HKR,38561
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Electrical & Electronics Engineering,GM,43604
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Electronics & Communication Engineering,GM,38105
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Information Science & Engineering,GM,36407
2021,R1,1,E021,"Bapuji Institute of Engineering & Technology, Davangere",Information Science & Engineering,HKR,39392
2021,R1,1,E023,Basavakalyan Engineering College. Basavakalyan-Bidar,Computer Science & Engineering,GM,44034
2021,R1,1,E023,Basavakalyan Engineering College. Basavakalyan-Bidar,Electronics & Communication Engineering,GM,39523
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Artificial Intelligence and Machine Learning,GM,38069
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Biotechnology,GM,38148
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Civil Engineering,GM,41588
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Computer Science & Engineering,GM,21477
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Computer Science & Engineering,HKR,30193
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Electronics & Communication Engineering,GM,33318
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Information Science & Engineering,GM,30054
2021,R1,1,E024,"Basaveshwar Engineering College, Bagalkot",Information Science & Engineering,HKR,42989
2021,R1,1,E026,"B L D E A's V.P. Dr. P G Halakatti College of Engg &
Technology, Vijayapur",Computer Science & Engineering,GM,42140
2021,R1,1,E026,"B L D E A's V.P. Dr. P G Halakatti College of Engg &
Technology, Vijayapur",Computer Science & Engineering( Artificial Intelligence & Machine Learning),GM,35163
2021,R1,1,E026,"B L D E A's V.P. Dr. P G Halakatti College of Engg &
Technology, Vijayapur",Electronics & Communication Engineering,GM,21514
2021,R1,1,E027,B M S College of Engineering,Aerospace Engineering,GM,6052
2021,R1,1,E027,B M S College of Engineering,Aerospace Engineering,HKR,21427
2021,R1,1,E027,B M S College of Engineering,Artificial Intelligence and Machine Learning,GM,632
2021,R1,1,E027,B M S College of Engineering,Artificial Intelligence and Machine Learning,HKR,8243
2021,R1,1,E027,B M S College of Engineering,Biotechnology,GM,12910
2021,R1,1,E027,B M S College of Engineering,Chemical Engineering,GM,13612
2021,R1,1,E027,B M S College of Engineering,Civil Engineering,GM,16916
2021,R1,1,E027,B M S College of Engineering,Civil Engineering,HKR,34288
2021,R1,1,E027,B M S College of Engineering,Computer Science & Engineering,GM,195
2021,R1,1,E027,B M S College of Engineering,Computer Science & Engineering,HKR,2400
2021,R1,1,E027,B M S College of Engineering,Electronics & Communication Engineering,GM,1209
2021,R1,1,E027,B M S College of Engineering,Electronics & Communication Engineering,HKR,8187
2021,R1,1,E027,B M S College of Engineering,Electronics & Instrumentation Engineering,GM,4892
2021,R1,1,E027,B M S College of Engineering,Electronics & Instrumentation Engineering,HKR,30130
2021,R1,1,E027,B M S College of Engineering,Electronics and Telecommunication Engineering,GM,3658
2021,R1,1,E027,B M S College of Engineering,Electronics and Telecommunication Engineering,HKR,26577
2021,R1,1,E027,B M S College of Engineering,Information Science & Engineering,GM,550
2021,R1,1,E027,B M S College of Engineering,Information Science & Engineering,HKR,5642
2021,R1,1,E027,B M S College of Engineering,Mechanical Engineering,GM,7868
2021,R1,1,E027,B M S College of Engineering,Medical Electronics Engineering,GM,19125
2021,R1,1,E027,B M S College of Engineering,Medical Electronics Engineering,HKR,29686
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Artificial Intelligence and Machine Learning,GM,1656
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Artificial Intelligence and Machine Learning,HKR,17641
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Civil Engineering,GM,30235
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Civil Engineering,HKR,31696
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Computer Science & Engineering,GM,1383
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Computer Science & Engineering,HKR,12598
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Electrical & Electronics Engineering,GM,12463
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Electrical & Electronics Engineering,HKR,36318
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Electronics & Communication Engineering,GM,6669
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Electronics & Communication Engineering,HKR,28631
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Electronics and Telecommunication Engineering,GM,13232
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Information Science & Engineering,GM,2502
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Information Science & Engineering,HKR,18329
2021,R1,1,E028,"BMS Institute of Technology & Management , Bangalore",Mechanical Engineering,GM,22740
2021,R1,1,E030,"Brindavan College of Engineering , Bangalore",Information Science & Engineering,GM,38241
