College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"Vemana Institute of Technology-Koramangala, Bengaluru",E145,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,75204,60983
"Jain College of Engineering and Technology-Unkal, Hubballi",E194,HUBBALLI,AI-Artificial Intelligence & Machine Learning,AI,GM,108652,64087
"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",E207,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,93228,66329
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,47299,63570
"KLE Technological University  Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and
Technology-Udyambag, Belagavi",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,101670,63656
"Maharaja Institute of Technology-Belawadi, Mandya",E078,MANDYA,AI-Artificial Intelligence & Machine Learning,AI,GM,101827,63138
"Acharya Institute of Technology-Soladevanahalli, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,103486,66847
"Atria Institute of Technology-Hebbal, Bengaluru",E012,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,105457,66502
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,18272,65984
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,5610,66157
"C.M.R. Institute of Technology-Brookefield, Bengaluru",E032,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,29052,65639
"Cambridge Institute of Technology-K R Puram, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,85816,65381
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,68369,65208
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,8322,65122
"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",E042,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,110247,65036
"Maharaja Institute of Technology-Belawadi, Mandya",E078,MANDYA,AI-Artificial Intelligence & Machine Learning,AI,GM,106871,63138
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,AI-Artificial Intelligence & Machine Learning,AI,GM,71221,62794
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,890,62535
"RNS Institute of Technology-R R Nagar Post, Bengaluru",E104,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,48497,62362
"SJB Institute of Technology-Kengeri, Bengaluru",E107,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,111065,61931
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,37806,61414
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,53533,64777
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,102072,62621
"CMR University-Bagalur-Chagalatti, Bengaluru",E187,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,103547,65553
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,111127,63570
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,99675,65984
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,47626,66157
